Ion name,Ion mass,Charge 
M+3H ,M/3 + 1.007276 ,3+
M+2H+Na ,M/3 + 8.334590 ,3+
M+H+2Na ,M/3 + 15.7661904 ,3+
M+3Na ,M/3 + 22.989218 ,3+
M+2H ,M/2 + 1.007276 ,2+
M+H+NH4 ,M/2 + 9.520550 ,2+
M+H+Na ,M/2 + 11.998247 ,2+
M+H+K ,M/2 + 19.985217 ,2+
M+ACN+2H,M/2 + 21.520550 ,2+
M+2Na ,M/2 + 22.989218 ,2+
M+2ACN+2H,M/2 + 42.033823 ,2+
M+3ACN+2H,M/2 + 62.547097 ,2+
M+H ,M + 1.007276 ,1+
M+NH4 ,M + 18.033823 ,1+
M+Na ,M + 22.989218 ,1+
M+CH3OH+H ,M + 33.033489 ,1+
M+K ,M + 38.963158 ,1+
M+ACN+H ,M + 42.033823 ,1+
M+2Na-H ,M + 44.971160 ,1+
M+IsoProp+H,M + 61.06534,1+
M+ACN+Na ,M + 64.015765 ,1+
M+2K+H ,M + 76.919040 ,1+
M+DMSO+H ,M + 79.02122 ,1+
M+2ACN+H ,M + 83.060370 ,1+
M+IsoProp+Na+H,M + 84.05511,1+
2M+H ,2M + 1.007276 ,1+
2M+NH4 ,2M + 18.033823 ,1+
2M+Na ,2M + 22.989218 ,1+
2M+3H2O+2H,2M + 28.02312 ,2+
2M+K ,2M + 38.963158 ,1+
2M+ACN+H ,2M + 42.033823 ,1+
2M+ACN+Na ,2M + 64.015765 ,1+
M-3H ,M/3 - 1.007276 ,3-
M-2H ,M/2 - 1.007276 ,2-
M-H2O-H,M- 19.01839,1-
M-H ,M - 1.007276 ,1-
M+Na-2H ,M + 20.974666 ,1-
M+Cl ,M + 34.969402 ,1-
M+K-2H ,M + 36.948606 ,1-
M+FA-H ,M + 44.998201 ,1-
M+Hac-H ,M + 59.013851 ,1-
M+Br ,M + 78.918885 ,1-
M+TFA-H ,M + 112.985586 ,1-
2M-H ,2M - 1.007276 ,1-
2M+FA-H ,2M + 44.998201 ,1-
2M+Hac-H ,2M + 59.013851 ,1-
3M-H ,3M - 1.007276 ,1-
